id;nom_ecole;adresse;rc;ice;tp;identite_fiche;logo;logo_content_type
1;Re-engineered;Station maximize;RSS extend;Direct Security bluetooth;Quality;markets Extended programming;../data/blob/hipster.png;image/png
2;Triple-buffered;Stream withdrawal withdrawal;Points Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;../data/blob/hipster.png;image/png
3;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;../data/blob/hipster.png;image/png
4;Djibouti Franc Music;Money Market Account;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account;../data/blob/hipster.png;image/png
5;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;Response;../data/blob/hipster.png;image/png
6;Research;tan TCP invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;../data/blob/hipster.png;image/png
7;input Rhode Island Tuna;Gloves;parse user-facing;Handmade Wooden Computer Metal;Licensed Manager Borders;copying;../data/blob/hipster.png;image/png
8;relationships quantify generate;array Delaware;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;../data/blob/hipster.png;image/png
9;SAS deposit;Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;synthesizing;Sports back up ivory;../data/blob/hipster.png;image/png
10;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;../data/blob/hipster.png;image/png
